Unnamed: 0.1,Unnamed: 0,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,rating_category
0,0,#Feeltheroll,Quick Bites,3.4,7,200.0,no,no,Fast Food,Bellandur,Bellandur,Average Rated
1,1,#L-81 Cafe,Quick Bites,3.9,48,400.0,yes,no,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
2,2,#Refuel,Cafe,3.7,37,400.0,yes,no,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,Average Rated
3,3,'@ Biryani Central,Casual Dining,2.7,135,550.0,yes,no,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,Average Rated
4,4,'@ The Bbq,Casual Dining,2.8,40,700.0,yes,no,"Bbq, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,Average Rated
5,5,'@99,"Takeaway, Delivery",3.4,37,200.0,no,no,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,Average Rated
6,6,'@Italy,Casual Dining,4.1,305,700.0,yes,no,Italian,Banashankari,Kumaraswamy Layout,Highly Rated
7,7,'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,no,no,North Indian,Indiranagar,Old Airport Road,Average Rated
8,8,1000 B.C,Quick Bites,3.2,49,300.0,yes,no,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
9,9,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450.0,no,no,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
10,10,11 To 11 Express Biriyanis,Quick Bites,3.5,22,300.0,yes,no,"Biryani, Kebab",Electronic City,Electronic City,Average Rated
11,11,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500.0,no,yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,Highly Rated
12,12,12Th Main - Grand Mercure,Fine Dining,4.1,353,2000.0,no,yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,Highly Rated
13,13,1441 Pizzeria,Casual Dining,4.1,119,800.0,yes,no,"Pizza, Salad",Basavanagudi,Jp Nagar,Highly Rated
14,14,1522 - The Pub,Pub,4.2,1731,1400.0,yes,no,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,Highly Rated
15,15,154 Breakfast Club,Cafe,4.0,1509,900.0,yes,yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,Highly Rated
16,16,1722 Urban Bistro,Casual Dining,4.1,218,600.0,yes,yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Highly Rated
17,17,18+ Ice Cafe,Cafe,3.5,24,550.0,no,no,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,Average Rated
18,18,1947,Casual Dining,3.9,620,1000.0,no,yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,Average Rated
19,19,1980S Games Cafe,Cafe,3.4,58,400.0,yes,no,"Cafe, Fast Food",Banashankari,Basavanagudi,Average Rated
20,20,1992 Chats - Space,Quick Bites,3.7,33,200.0,yes,no,Street Food,Malleshwaram,Rajajinagar,Average Rated
21,21,1Q1,"Casual Dining, Bar",4.3,595,2500.0,no,yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,Highly Rated
22,22,1To3 Kitchen,Delivery,3.1,11,800.0,no,no,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,Average Rated
23,23,2 Statez,Casual Dining,3.7,209,600.0,yes,no,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,Average Rated
24,24,20 Char - Sterlings Mac Hotel,"Casual Dining, Bar",4.0,419,1400.0,yes,yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,Highly Rated
25,25,20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,yes,yes,"American, Continental, Steak, Salad",Brigade Road,Church Street,Highly Rated
